img_name,target
ISIC_0013610,Malignant
ISIC_0026247,Malignant
ISIC_0053983,Benign
ISIC_0031664,Benign
ISIC_0027089,Malignant
ISIC_0029016,Benign
ISIC_0028202,Benign
ISIC_0000207,Benign
ISIC_0057784,Benign
ISIC_0027525,Malignant
ISIC_0014434,Malignant
ISIC_0001106,Malignant
ISIC_0028293,Benign
ISIC_0013310,Benign
ISIC_0027766,Benign
ISIC_0030460,Benign
ISIC_0031365,Benign
ISIC_0068131,Benign
ISIC_0001163,Benign
ISIC_0029144,Benign
ISIC_0032827,Benign
ISIC_0015645,Benign
ISIC_0032478,Benign
ISIC_0030864,Benign
ISIC_0059467,Benign
ISIC_0065924,Benign
ISIC_0062257,Benign
ISIC_0059341,Benign
ISIC_0032578,Benign
ISIC_0032430,Malignant
ISIC_0026475,Malignant
ISIC_0032626,Malignant
ISIC_0029976,Benign
ISIC_0030042,Benign
ISIC_0026910,Benign
ISIC_0026195,Benign
ISIC_0027993,Benign
ISIC_0000226,Benign
ISIC_0033796,Benign
ISIC_0067517,Benign
ISIC_0027265,Benign
ISIC_0063875,Benign
ISIC_0011151,Malignant
ISIC_0056924,Benign
ISIC_0012090,Benign
ISIC_0028699,Benign
ISIC_0033939,Benign
ISIC_0032104,Benign
ISIC_0060505,Benign
ISIC_0013972,Malignant
ISIC_0012544,Benign
ISIC_0068201,Benign
ISIC_0026416,Benign
ISIC_0033350,Benign
ISIC_0058464,Benign
ISIC_0062419,Benign
ISIC_0030417,Malignant
ISIC_0061563,Benign
ISIC_0032526,Malignant
ISIC_0009906,Benign
ISIC_0032830,Benign
ISIC_0024557,Benign
ISIC_0024676,Benign
ISIC_0028163,Benign
ISIC_0030675,Benign
ISIC_0000196,Benign
ISIC_0024409,Benign
ISIC_0009430,Benign
ISIC_0059484,Benign
ISIC_0024847,Benign
ISIC_0026536,Benign
ISIC_0033722,Benign
ISIC_0033906,Benign
ISIC_0025288,Benign
ISIC_0000225,Benign
ISIC_0031424,Benign
ISIC_0064449,Benign
ISIC_0056809,Benign
ISIC_0031114,Benign
ISIC_0011336,Benign
ISIC_0029394,Benign
ISIC_0068046,Benign
ISIC_0060879,Benign
ISIC_0055237,Benign
ISIC_0027622,Malignant
ISIC_0058889,Benign
ISIC_0060601,Benign
ISIC_0068691,Benign
ISIC_0027133,Benign
ISIC_0059659,Benign
ISIC_0033053,Benign
ISIC_0014337,Malignant
ISIC_0069110,Benign
ISIC_0028243,Benign
ISIC_0027171,Malignant
ISIC_0067014,Benign
ISIC_0026907,Benign
ISIC_0025436,Benign
ISIC_0024545,Malignant
ISIC_0064670,Benign
ISIC_0028753,Benign
ISIC_0030082,Benign
ISIC_0063319,Benign
ISIC_0027428,Benign
ISIC_0065809,Benign
ISIC_0059691,Benign
ISIC_0000015,Benign
ISIC_0032453,Benign
ISIC_0028873,Benign
ISIC_0032449,Benign
ISIC_0024498,Benign
ISIC_0030779,Benign
ISIC_0029478,Benign
ISIC_0032187,Malignant
ISIC_0025346,Benign
ISIC_0024346,Benign
ISIC_0028215,Malignant
ISIC_0028574,Benign
ISIC_0026394,Benign
ISIC_0027560,Malignant
ISIC_0029734,Benign
ISIC_0031022,Benign
ISIC_0029137,Benign
ISIC_0013026,Benign
ISIC_0027880,Benign
ISIC_0062750,Benign
ISIC_0053482,Benign
ISIC_0068532,Benign
ISIC_0029220,Malignant
ISIC_0027738,Benign
ISIC_0015038,Benign
ISIC_0000423,Benign
ISIC_0032357,Benign
ISIC_0054483,Benign
ISIC_0013230,Benign
ISIC_0013794,Benign
ISIC_0025488,Benign
ISIC_0068090,Benign
ISIC_0033461,Benign
ISIC_0010849,Benign
ISIC_0030480,Benign
ISIC_0030790,Benign
ISIC_0011220,Benign
ISIC_0061875,Benign
ISIC_0030874,Benign
ISIC_0068829,Benign
ISIC_0058132,Benign
ISIC_0027941,Benign
ISIC_0053718,Benign
ISIC_0000166,Malignant
ISIC_0009889,Benign
ISIC_0031484,Benign
ISIC_0031659,Malignant
ISIC_0030008,Benign
ISIC_0032768,Malignant
ISIC_0014114,Benign
ISIC_0000541,Benign
ISIC_0066479,Benign
ISIC_0025553,Benign
ISIC_0058071,Benign
ISIC_0027711,Benign
ISIC_0026531,Malignant
ISIC_0030013,Benign
ISIC_0031225,Malignant
ISIC_0032246,Malignant
ISIC_0059097,Benign
ISIC_0055215,Benign
ISIC_0013291,Benign
ISIC_0058421,Benign
ISIC_0055488,Benign
ISIC_0062375,Benign
ISIC_0031644,Benign
ISIC_0031109,Benign
ISIC_0025332,Benign
ISIC_0034091,Benign
ISIC_0031533,Benign
ISIC_0014618,Benign
ISIC_0061650,Benign
ISIC_0009937,Benign
ISIC_0033319,Benign
ISIC_0027357,Benign
ISIC_0058147,Benign
ISIC_0001385,Benign
ISIC_0012227,Benign
ISIC_0024537,Malignant
ISIC_0031131,Benign
ISIC_0065821,Benign
ISIC_0011146,Benign
ISIC_0010241,Malignant
ISIC_0031008,Benign
ISIC_0067752,Benign
ISIC_0024369,Benign
ISIC_0030791,Benign
ISIC_0028890,Malignant
ISIC_0000416,Benign
ISIC_0026995,Malignant
ISIC_0024561,Benign
ISIC_0063327,Benign
ISIC_0061860,Benign
ISIC_0063876,Benign
ISIC_0013306,Benign
ISIC_0032516,Benign
ISIC_0027208,Benign
ISIC_0060065,Benign
ISIC_0030293,Benign
ISIC_0027968,Benign
ISIC_0026842,Benign
ISIC_0033098,Benign
ISIC_0066162,Benign
ISIC_0032418,Benign
ISIC_0014724,Benign
ISIC_0032444,Benign
ISIC_0028134,Benign
ISIC_0064658,Benign
ISIC_0002806,Benign
ISIC_0012904,Benign
ISIC_0028877,Malignant
ISIC_0063549,Benign
ISIC_0065258,Benign
ISIC_0061785,Benign
ISIC_0000212,Benign
ISIC_0012199,Benign
ISIC_0028460,Malignant
ISIC_0028576,Benign
ISIC_0030166,Benign
ISIC_0056104,Benign
ISIC_0054727,Benign
ISIC_0054897,Benign
ISIC_0028807,Malignant
ISIC_0030737,Malignant
ISIC_0000255,Benign
ISIC_0015034,Benign
ISIC_0015991,Benign
ISIC_0025625,Benign
ISIC_0012356,Malignant
ISIC_0056313,Benign
ISIC_0013592,Benign
ISIC_0030632,Benign
ISIC_0053821,Benign
ISIC_0032836,Malignant
ISIC_0027228,Benign
ISIC_0059008,Benign
ISIC_0013437,Benign
ISIC_0027326,Benign
ISIC_0029879,Benign
ISIC_0058161,Benign
ISIC_0031680,Benign
ISIC_0063861,Benign
ISIC_0031090,Benign
ISIC_0066151,Benign
ISIC_0027028,Benign
ISIC_0030314,Malignant
ISIC_0067214,Benign
ISIC_0032337,Benign
ISIC_0028806,Benign
ISIC_0027800,Benign
ISIC_0000352,Benign
ISIC_0029704,Benign
ISIC_0064145,Benign
ISIC_0033839,Benign
ISIC_0033669,Benign
ISIC_0026567,Benign
ISIC_0028262,Benign
ISIC_0028792,Benign
ISIC_0033088,Benign
ISIC_0024748,Benign
ISIC_0031687,Benign
ISIC_0032360,Benign
ISIC_0024828,Benign
ISIC_0066934,Benign
ISIC_0028050,Malignant
ISIC_0058165,Benign
ISIC_0000513,Malignant
ISIC_0061940,Benign
ISIC_0064988,Benign
ISIC_0027981,Benign
ISIC_0062268,Benign
ISIC_0015368,Benign
ISIC_0010018,Benign
ISIC_0032040,Benign
ISIC_0012522,Benign
ISIC_0066434,Benign
ISIC_0031243,Malignant
ISIC_0063626,Benign
ISIC_0068422,Benign
ISIC_0025726,Benign
ISIC_0068511,Benign
ISIC_0024983,Benign
ISIC_0066713,Benign
ISIC_0068625,Benign
ISIC_0012459,Benign
ISIC_0054238,Benign
ISIC_0057738,Benign
ISIC_0028948,Benign
ISIC_0053889,Benign
ISIC_0061612,Benign
ISIC_0027358,Benign
ISIC_0032613,Benign
ISIC_0033530,Benign
ISIC_0030090,Benign
ISIC_0033137,Benign
ISIC_0032757,Benign
ISIC_0067068,Benign
ISIC_0033143,Benign
ISIC_0028986,Benign
ISIC_0000506,Benign
ISIC_0063173,Benign
ISIC_0014094,Benign
ISIC_0065784,Benign
ISIC_0030695,Malignant
ISIC_0032730,Malignant
ISIC_0026392,Benign
ISIC_0063439,Benign
ISIC_0030674,Benign
ISIC_0060217,Benign
ISIC_0010053,Benign
ISIC_0010075,Benign
ISIC_0014863,Benign
ISIC_0031218,Benign
ISIC_0066651,Benign
ISIC_0030908,Benign
ISIC_0025515,Benign
ISIC_0055164,Benign
ISIC_0032971,Benign
ISIC_0028918,Benign
ISIC_0062396,Benign
ISIC_0069400,Benign
ISIC_0013981,Benign
ISIC_0032818,Benign
ISIC_0025510,Benign
ISIC_0068281,Benign
ISIC_0028415,Malignant
ISIC_0026849,Benign
ISIC_0033929,Benign
ISIC_0030657,Benign
ISIC_0066719,Benign
ISIC_0064728,Benign
ISIC_0014921,Benign
ISIC_0059918,Benign
ISIC_0064274,Benign
ISIC_0032230,Benign
ISIC_0026068,Benign
ISIC_0069472,Benign
ISIC_0068154,Benign
ISIC_0063079,Benign
ISIC_0013936,Malignant
ISIC_0064048,Benign
ISIC_0054749,Benign
ISIC_0029923,Benign
ISIC_0030863,Benign
ISIC_0030072,Benign
ISIC_0032816,Malignant
ISIC_0032491,Benign
ISIC_0058594,Benign
ISIC_0024562,Malignant
ISIC_0029530,Benign
ISIC_0006671,Benign
ISIC_0013134,Benign
ISIC_0027369,Benign
ISIC_0000065,Benign
ISIC_0028469,Benign
ISIC_0030907,Benign
ISIC_0055611,Benign
ISIC_0027396,Benign
ISIC_0032739,Benign
ISIC_0027700,Malignant
ISIC_0029477,Benign
ISIC_0069143,Benign
ISIC_0031544,Benign
ISIC_0025479,Benign
ISIC_0028964,Malignant
ISIC_0025296,Benign
ISIC_0032030,Malignant
ISIC_0025585,Benign
ISIC_0031023,Malignant
ISIC_0000300,Malignant
ISIC_0014907,Benign
ISIC_0032144,Benign
ISIC_0063977,Benign
ISIC_0009995,Benign
ISIC_0060666,Benign
ISIC_0030815,Benign
ISIC_0033589,Benign
ISIC_0030441,Benign
ISIC_0026586,Malignant
ISIC_0032603,Malignant
ISIC_0054833,Benign
ISIC_0032333,Benign
ISIC_0068057,Benign
ISIC_0027166,Benign
ISIC_0031613,Benign
ISIC_0013897,Benign
ISIC_0026114,Benign
ISIC_0028762,Benign
ISIC_0029644,Malignant
ISIC_0056928,Benign
ISIC_0064417,Benign
ISIC_0028777,Malignant
ISIC_0015180,Malignant
ISIC_0032864,Benign
ISIC_0011326,Benign
ISIC_0024395,Benign
ISIC_0031599,Benign
ISIC_0029457,Benign
ISIC_0033289,Benign
ISIC_0016062,Benign
ISIC_0016011,Benign
ISIC_0016059,Benign
ISIC_0028209,Benign
ISIC_0067259,Benign
ISIC_0063281,Benign
ISIC_0026466,Malignant
ISIC_0033334,Benign
ISIC_0030112,Benign
ISIC_0063386,Benign
ISIC_0031939,Benign
ISIC_0032599,Benign
ISIC_0028108,Benign
ISIC_0026268,Malignant
ISIC_0066920,Benign
ISIC_0000051,Benign
ISIC_0062981,Benign
ISIC_0028502,Benign
ISIC_0057646,Benign
ISIC_0010493,Benign
ISIC_0028617,Benign
ISIC_0055679,Benign
ISIC_0031089,Benign
ISIC_0030456,Benign
ISIC_0055947,Benign
ISIC_0025817,Benign
ISIC_0000019,Benign
ISIC_0013577,Malignant
ISIC_0031719,Benign
ISIC_0030023,Benign
ISIC_0016072,Benign
ISIC_0065403,Benign
ISIC_0032195,Benign
ISIC_0014707,Benign
ISIC_0010447,Benign
ISIC_0025918,Benign
ISIC_0026936,Benign
ISIC_0010856,Benign
ISIC_0031316,Benign
ISIC_0030983,Benign
ISIC_0010455,Benign
ISIC_0013644,Malignant
ISIC_0024962,Malignant
ISIC_0031996,Benign
ISIC_0067835,Benign
ISIC_0032890,Benign
ISIC_0014428,Malignant
ISIC_0030124,Benign
ISIC_0066012,Benign
ISIC_0028490,Benign
ISIC_0025518,Benign
ISIC_0029257,Benign
ISIC_0066089,Benign
ISIC_0062884,Benign
ISIC_0034032,Benign
ISIC_0025755,Malignant
ISIC_0067321,Benign
ISIC_0063804,Benign
ISIC_0025809,Benign
ISIC_0034226,Benign
ISIC_0032354,Benign
ISIC_0056499,Benign
ISIC_0032656,Malignant
ISIC_0013219,Benign
ISIC_0025113,Benign
ISIC_0061372,Benign
ISIC_0030037,Benign
ISIC_0033845,Benign
ISIC_0029483,Benign
ISIC_0000504,Benign
ISIC_0062972,Benign
ISIC_0024456,Benign
ISIC_0028742,Benign
ISIC_0032946,Benign
ISIC_0064678,Benign
ISIC_0012379,Benign
ISIC_0069569,Benign
ISIC_0058228,Benign
ISIC_0033167,Benign
ISIC_0056664,Benign
ISIC_0030604,Malignant
ISIC_0025826,Malignant
ISIC_0029102,Benign
ISIC_0024914,Benign
ISIC_0028096,Benign
ISIC_0025221,Benign
ISIC_0054682,Benign
ISIC_0028033,Malignant
ISIC_0065572,Benign
ISIC_0014187,Malignant
ISIC_0026379,Benign
ISIC_0068216,Benign
ISIC_0029549,Malignant
ISIC_0032918,Malignant
ISIC_0031385,Benign
ISIC_0028364,Benign
ISIC_0033097,Benign
ISIC_0031232,Benign
ISIC_0065320,Benign
ISIC_0000050,Benign
ISIC_0032201,Benign
ISIC_0030369,Benign
ISIC_0024475,Benign
ISIC_0062603,Benign
ISIC_0029983,Benign
ISIC_0059376,Benign
ISIC_0031893,Benign
ISIC_0062076,Benign
ISIC_0025101,Benign
ISIC_0027143,Benign
ISIC_0032399,Benign
ISIC_0032085,Benign
ISIC_0026294,Benign
ISIC_0015118,Benign
ISIC_0028631,Benign
ISIC_0065291,Benign
ISIC_0024649,Benign
ISIC_0058517,Benign
ISIC_0061398,Benign
ISIC_0033353,Benign
ISIC_0029732,Benign
ISIC_0013089,Benign
ISIC_0027067,Malignant
ISIC_0028630,Benign
ISIC_0032425,Malignant
ISIC_0028782,Benign
ISIC_0027437,Benign
ISIC_0033542,Benign
ISIC_0001296,Benign
ISIC_0033870,Benign
ISIC_0026964,Benign
ISIC_0028790,Benign
ISIC_0066740,Benign
ISIC_0013562,Benign
ISIC_0056907,Benign
ISIC_0013782,Benign
ISIC_0028248,Benign
ISIC_0056909,Benign
ISIC_0001100,Malignant
ISIC_0001423,Benign
ISIC_0032817,Benign
ISIC_0033085,Benign
ISIC_0015383,Benign
ISIC_0031704,Benign
ISIC_0054676,Benign
ISIC_0031623,Benign
ISIC_0055100,Benign
ISIC_0054318,Benign
ISIC_0034024,Benign
ISIC_0027735,Benign
ISIC_0067211,Benign
ISIC_0033592,Benign
ISIC_0031251,Benign
ISIC_0029867,Benign
ISIC_0025010,Benign
ISIC_0028338,Benign
ISIC_0054965,Benign
ISIC_0029936,Benign
ISIC_0066584,Benign
ISIC_0056779,Benign
ISIC_0031497,Benign
ISIC_0054792,Benign
ISIC_0026490,Benign
ISIC_0030939,Benign
ISIC_0056117,Benign
ISIC_0025570,Benign
ISIC_0032079,Malignant
ISIC_0058835,Benign
ISIC_0026692,Benign
ISIC_0030447,Benign
ISIC_0026973,Benign
ISIC_0026429,Benign
ISIC_0010456,Benign
ISIC_0057405,Benign
ISIC_0026085,Benign
ISIC_0027066,Benign
ISIC_0053655,Benign
ISIC_0032948,Benign
ISIC_0066223,Benign
ISIC_0063399,Benign
ISIC_0059772,Benign
ISIC_0033935,Benign
ISIC_0059010,Benign
ISIC_0024544,Benign
ISIC_0028401,Benign
ISIC_0000360,Benign
ISIC_0028184,Benign
ISIC_0062861,Benign
ISIC_0067227,Benign
ISIC_0064002,Benign
ISIC_0012155,Benign
ISIC_0025225,Benign
ISIC_0000064,Benign
ISIC_0056135,Benign
ISIC_0033035,Benign
ISIC_0065294,Benign
ISIC_0026008,Benign
ISIC_0055941,Benign
ISIC_0010073,Benign
ISIC_0031367,Benign
ISIC_0016031,Benign
ISIC_0057836,Benign
ISIC_0000341,Benign
ISIC_0056622,Benign
ISIC_0013205,Benign
ISIC_0031858,Benign
ISIC_0057419,Benign
ISIC_0032767,Benign
ISIC_0013414,Malignant
ISIC_0026497,Benign
ISIC_0027407,Malignant
ISIC_0013814,Malignant
ISIC_0025393,Benign
ISIC_0013385,Benign
ISIC_0015981,Benign
ISIC_0033331,Benign
ISIC_0029445,Benign
ISIC_0030174,Benign
ISIC_0029103,Benign
ISIC_0063042,Benign
ISIC_0000118,Benign
ISIC_0030866,Benign
ISIC_0029799,Benign
ISIC_0012722,Benign
ISIC_0028723,Benign
ISIC_0034121,Benign
ISIC_0032302,Malignant
ISIC_0033832,Benign
ISIC_0032184,Benign
ISIC_0015023,Benign
ISIC_0024362,Benign
ISIC_0032908,Benign
ISIC_0027795,Malignant
ISIC_0029019,Benign
ISIC_0066982,Benign
ISIC_0025180,Benign
ISIC_0063755,Benign
ISIC_0031189,Malignant
ISIC_0027397,Benign
ISIC_0029316,Malignant
ISIC_0025834,Benign
ISIC_0030703,Benign
ISIC_0061503,Benign
ISIC_0027675,Malignant
ISIC_0030572,Benign
ISIC_0031336,Benign
ISIC_0012330,Benign
ISIC_0064370,Benign
ISIC_0026847,Malignant
ISIC_0029498,Benign
ISIC_0012518,Benign
ISIC_0030820,Benign
ISIC_0033829,Benign
ISIC_0028021,Benign
ISIC_0033983,Benign
ISIC_0032349,Malignant
ISIC_0010573,Benign
ISIC_0056853,Benign
ISIC_0055552,Benign
ISIC_0064368,Benign
ISIC_0067989,Benign
ISIC_0028866,Benign
ISIC_0059363,Benign
ISIC_0030661,Benign
ISIC_0064509,Benign
ISIC_0030185,Benign
ISIC_0066646,Benign
ISIC_0058385,Benign
ISIC_0054234,Benign
ISIC_0065812,Benign
ISIC_0054798,Benign
ISIC_0025247,Malignant
ISIC_0024996,Benign
ISIC_0031120,Benign
ISIC_0034293,Benign
ISIC_0056958,Benign
ISIC_0028420,Benign
ISIC_0013455,Malignant
ISIC_0064867,Benign
ISIC_0034190,Benign
ISIC_0028282,Benign
ISIC_0059544,Benign
ISIC_0031942,Benign
ISIC_0012223,Benign
ISIC_0032296,Benign
ISIC_0030102,Benign
ISIC_0030539,Malignant
ISIC_0026686,Benign
ISIC_0061672,Benign
ISIC_0063418,Benign
ISIC_0032013,Benign
ISIC_0067974,Benign
ISIC_0061513,Benign
ISIC_0030853,Benign
ISIC_0032068,Benign
ISIC_0062110,Benign
ISIC_0032760,Benign
ISIC_0033639,Benign
ISIC_0026648,Benign
ISIC_0030765,Benign
ISIC_0009955,Malignant
ISIC_0025647,Benign
ISIC_0065506,Benign
ISIC_0062849,Benign
ISIC_0014392,Benign
ISIC_0031092,Benign
ISIC_0032794,Benign
ISIC_0031739,Benign
ISIC_0031339,Malignant
ISIC_0014506,Malignant
ISIC_0025758,Benign
ISIC_0058361,Benign
ISIC_0014441,Benign
ISIC_0024728,Benign
ISIC_0030979,Benign
ISIC_0029222,Benign
ISIC_0013132,Benign
ISIC_0026811,Malignant
ISIC_0029218,Benign
ISIC_0006021,Benign
ISIC_0014715,Benign
ISIC_0060976,Benign
ISIC_0053562,Benign
ISIC_0001367,Benign
ISIC_0060995,Benign
ISIC_0063944,Benign
ISIC_0025648,Benign
ISIC_0031816,Benign
ISIC_0032887,Malignant
ISIC_0069363,Benign
ISIC_0011083,Benign
ISIC_0031333,Benign
ISIC_0015974,Benign
ISIC_0033998,Benign
ISIC_0005666,Benign
ISIC_0027548,Benign
ISIC_0029043,Malignant
ISIC_0032462,Malignant
ISIC_0028470,Benign
ISIC_0064489,Benign
ISIC_0012907,Benign
ISIC_0059805,Benign
ISIC_0025158,Benign
ISIC_0029527,Benign
ISIC_0063364,Benign
ISIC_0054221,Benign
ISIC_0056022,Benign
ISIC_0030738,Benign
ISIC_0030741,Benign
ISIC_0030643,Benign
ISIC_0027510,Benign
ISIC_0032179,Benign
ISIC_0031414,Benign
ISIC_0013055,Benign
ISIC_0030318,Benign
ISIC_0053641,Benign
ISIC_0029921,Benign
ISIC_0065773,Benign
ISIC_0059769,Benign
ISIC_0029622,Benign
ISIC_0027653,Benign
ISIC_0025143,Benign
ISIC_0030887,Benign
ISIC_0032586,Malignant
ISIC_0064763,Benign
ISIC_0000452,Benign
ISIC_0029636,Benign
ISIC_0000204,Benign
ISIC_0068246,Benign
ISIC_0025171,Benign
ISIC_0000223,Benign
ISIC_0025260,Malignant
ISIC_0005564,Benign
ISIC_0033156,Benign
ISIC_0032499,Benign
ISIC_0026445,Benign
ISIC_0024822,Benign
ISIC_0014169,Benign
ISIC_0068453,Benign
ISIC_0031397,Benign
ISIC_0032606,Benign
ISIC_0031319,Benign
ISIC_0032474,Benign
ISIC_0006114,Benign
ISIC_0061679,Benign
ISIC_0031118,Malignant
ISIC_0060111,Benign
ISIC_0028384,Benign
ISIC_0000283,Malignant
ISIC_0033699,Benign
ISIC_0063040,Benign
ISIC_0025928,Benign
ISIC_0025365,Benign
ISIC_0027797,Malignant
ISIC_0062078,Benign
ISIC_0030406,Benign
ISIC_0064955,Benign
ISIC_0011356,Malignant
ISIC_0032763,Benign
ISIC_0026275,Malignant
ISIC_0029354,Benign
ISIC_0000003,Benign
ISIC_0027145,Benign
ISIC_0034063,Benign
ISIC_0068134,Benign
ISIC_0011402,Benign
ISIC_0025594,Benign
ISIC_0030439,Benign
ISIC_0033800,Benign
ISIC_0026400,Benign
ISIC_0032423,Benign
ISIC_0063717,Benign
ISIC_0007087,Benign
ISIC_0013799,Benign
ISIC_0065126,Benign
ISIC_0011217,Benign
ISIC_0032766,Malignant
ISIC_0033855,Benign
ISIC_0056490,Benign
ISIC_0000060,Benign
ISIC_0032160,Benign
ISIC_0029546,Malignant
ISIC_0028749,Benign
ISIC_0060833,Benign
ISIC_0026507,Benign
ISIC_0056618,Benign
ISIC_0027618,Benign
ISIC_0032305,Benign
ISIC_0026879,Benign
ISIC_0009297,Benign
ISIC_0055426,Benign
ISIC_0068504,Benign
ISIC_0025051,Benign
ISIC_0026565,Benign
ISIC_0016007,Benign
ISIC_0012740,Benign
ISIC_0028813,Benign
ISIC_0025131,Benign
ISIC_0030895,Benign
ISIC_0028161,Benign
ISIC_0029422,Benign
ISIC_0016064,Benign
ISIC_0064781,Benign
ISIC_0029519,Benign
ISIC_0031531,Malignant
ISIC_0025384,Benign
ISIC_0064948,Benign
ISIC_0066256,Benign
ISIC_0029720,Benign
ISIC_0012378,Benign
ISIC_0067965,Benign
ISIC_0032710,Benign
ISIC_0031351,Malignant
ISIC_0068155,Benign
ISIC_0031945,Benign
ISIC_0028436,Benign
ISIC_0032521,Benign
ISIC_0055354,Benign
ISIC_0026425,Benign
ISIC_0010226,Benign
ISIC_0063976,Benign
ISIC_0027132,Benign
ISIC_0013865,Malignant
ISIC_0063051,Benign
ISIC_0024836,Benign
ISIC_0027085,Benign
ISIC_0061063,Benign
ISIC_0056509,Benign
ISIC_0059479,Benign
ISIC_0053464,Benign
ISIC_0031831,Benign
ISIC_0024826,Benign
ISIC_0030486,Malignant
ISIC_0010460,Benign
ISIC_0024591,Benign
ISIC_0028193,Benign
ISIC_0024311,Benign
ISIC_0025338,Benign
ISIC_0026741,Benign
ISIC_0029155,Benign
ISIC_0033445,Benign
ISIC_0031068,Benign
ISIC_0029424,Benign
ISIC_0024484,Benign
ISIC_0069392,Benign
ISIC_0028845,Benign
ISIC_0030755,Malignant
ISIC_0060138,Benign
ISIC_0000034,Benign
ISIC_0012164,Benign
ISIC_0024641,Benign
ISIC_0033298,Benign
ISIC_0068712,Benign
ISIC_0028735,Benign
ISIC_0014784,Malignant
ISIC_0028318,Benign
ISIC_0027533,Benign
ISIC_0031009,Malignant
ISIC_0029862,Benign
ISIC_0024827,Benign
ISIC_0059457,Benign
ISIC_0013201,Benign
ISIC_0025683,Benign
ISIC_0027999,Benign
ISIC_0034247,Benign
ISIC_0015166,Malignant
ISIC_0026346,Benign
ISIC_0064475,Benign
ISIC_0064634,Benign
ISIC_0000311,Malignant
ISIC_0013948,Malignant
ISIC_0060633,Benign
ISIC_0029909,Malignant
ISIC_0030060,Malignant
ISIC_0053838,Benign
ISIC_0030353,Benign
ISIC_0067922,Benign
ISIC_0024612,Benign
ISIC_0028361,Malignant
ISIC_0030213,Benign
ISIC_0029395,Benign
ISIC_0032507,Benign
ISIC_0067639,Benign
ISIC_0059364,Benign
ISIC_0031064,Benign
ISIC_0067620,Benign
ISIC_0057290,Benign
ISIC_0000101,Benign
ISIC_0031028,Benign
ISIC_0028746,Malignant
ISIC_0064795,Benign
ISIC_0058186,Benign
ISIC_0026047,Benign
ISIC_0026533,Benign
ISIC_0067366,Benign
ISIC_0015124,Malignant
ISIC_0010094,Malignant
ISIC_0067463,Benign
ISIC_0024619,Benign
ISIC_0027523,Benign
ISIC_0027243,Benign
ISIC_0032804,Benign
ISIC_0062146,Benign
ISIC_0026655,Benign
ISIC_0067854,Benign
ISIC_0064961,Benign
ISIC_0025985,Benign
ISIC_0013045,Benign
ISIC_0029874,Benign
ISIC_0025550,Malignant
ISIC_0000195,Benign
ISIC_0033139,Benign
ISIC_0025462,Benign
ISIC_0015468,Benign
ISIC_0029328,Benign
ISIC_0012380,Benign
ISIC_0033650,Benign
ISIC_0058604,Benign
ISIC_0067071,Benign
ISIC_0066998,Benign
ISIC_0031557,Malignant
ISIC_0033316,Benign
ISIC_0031478,Benign
ISIC_0032060,Benign
ISIC_0025097,Malignant
ISIC_0013767,Malignant
ISIC_0062516,Benign
ISIC_0058606,Benign
ISIC_0034273,Benign
ISIC_0030221,Benign
ISIC_0027475,Benign
ISIC_0058436,Benign
ISIC_0015937,Benign
ISIC_0065223,Benign
ISIC_0030817,Benign
ISIC_0031917,Benign
ISIC_0055235,Benign
ISIC_0033102,Benign
ISIC_0033764,Benign
ISIC_0055816,Benign
ISIC_0059713,Benign
ISIC_0002975,Benign
ISIC_0010574,Benign
